atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados
126189,Tomás Pérez,CAM,Meia,6,3.82,0.0,1.63,6,0.0,False,True,FLA,0.016,neutro,1.782,1.63,0.75,45.6,neutro,1.22
142275,Luiz Felipe,FLA,Meia,6,1.0,0.0,0.0,0,0.0,False,False,CAM,0.856,valor_bom,0.0,0.0,0.0,55.5,neutro,0.0
92747,Eduardo Domínguez,CAM,Técnico,7,10.56,-0.19,5.53,8,2.35,True,True,FLA,0.718,valor_bom,5.973,5.53,1.0,47.0,neutro,5.61
143465,Keven Samuel,FLU,Atacante,6,1.0,0.0,0.0,0,0.0,False,True,CHA,0.733,valor_bom,0.0,0.0,0.0,73.6,favoravel,0.0
100804,Tchamba,REM,Zagueiro,7,3.68,-1.45,1.93,8,-4.9,True,True,CRU,0.236,neutro,1.935,1.55,1.0,63.4,favoravel,2.45
93834,Keiller,CFC,Goleiro,6,4.0,0.0,0.0,0,0.0,False,False,GRE,-1.788,armadilha_forte,0.0,0.0,0.0,44.7,neutro,0.0
124219,Millán,FLU,Zagueiro,6,6.0,0.0,0.0,0,0.0,False,True,CHA,-3.105,armadilha_forte,0.0,0.0,0.0,87.9,neutro,0.0
88963,Leonardo Jardim,FLA,Técnico,7,13.81,0.24,7.3,8,8.38,True,False,CAM,0.195,neutro,6.858,7.3,1.0,56.3,neutro,7.72
116137,João Moreira,SAO,Lateral,6,4.0,0.0,0.0,0,0.0,False,True,MIR,-2.642,armadilha_forte,0.0,0.0,0.0,59.1,neutro,0.0
41929,Renato Gaúcho,VAS,Técnico,7,10.39,0.44,5.32,8,6.28,True,False,COR,-1.127,armadilha_leve,5.309,5.32,1.0,48.5,neutro,5.15
37457,Léo Condé,REM,Técnico,7,7.62,-0.29,4.3,8,2.99,True,True,CRU,-0.299,neutro,4.392,4.3,1.0,70.4,neutro,6.18
124424,Rodrigo Castillo,FLU,Atacante,7,9.19,2.24,4.48,8,13.3,True,True,CHA,0.477,neutro,4.612,0.86,1.0,73.6,favoravel,6.79
