endpoint,registros,status,erro,timestamp
mercado,775,OK,,2026-06-08 18:48 BRT
pontuados,0,ERRO,Expecting value: line 1 column 1 (char 0),2026-06-08 18:48 BRT
partidas,10,OK,,2026-06-08 18:48 BRT
rodadas,38,OK,,2026-06-08 18:48 BRT
status,1,OK,,2026-06-08 18:48 BRT
odds,10,OK,,2026-06-08 18:48 BRT
brasileirao,0,ERRO,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",2026-06-08 18:48 BRT
atletas_enriquecido,150,OK,,2026-06-08 18:48 BRT
times_rodada,1,OK,,2026-06-08 18:48 BRT
