atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,scout_A,scout_DS,scout_FC,scout_FD,scout_FF,scout_FS,scout_FT,scout_SG,scout_V,scout_CA,scout_G,scout_I,scout_DE,scout_GS,scout_PC,scout_PP,scout_CV,scout_GC,scout_PS,scout_DP,mandante,adversario,prob_vitoria,prob_gols,tendencia,min_valorizar,pb_media,resiliencia_pct,confiabilidade,media_bayesiana,residuo_z,armadilha_label,custo_beneficio,cb_rank,status_label
117061,Gabriel Knesowitsch,2305,MIR,3,Zagueiro,2,3.0,0.0,0.0,0,0.0,False,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,False,VAS,0.0,,estavel,0.0,0.0,0.0,0.0,0.0,-1.479,armadilha_leve,0.0,86,Dúvida
122321,Lorran,262,FLA,4,Meia,2,9.29,5.29,14.6,1,14.6,True,0.0,4.0,2.0,1.0,,,,0.0,,,1.0,,,,,,,,,,True,SAO,0.0,,alta,14.6,9.6,0.658,0.125,5.182,1.454,valor_bom,0.07,175,Dúvida
103967,Bruno Santos,2305,MIR,5,Atacante,7,4.0,0.0,0.0,0,0.0,False,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,False,VAS,0.0,,estavel,0.0,0.0,0.0,0.0,0.0,-2.247,armadilha_forte,0.0,157,Provável
98333,Gabriel Batista,263,BOT,1,Goleiro,2,3.0,0.0,0.0,0,0.0,False,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,False,CRU,0.0,,estavel,0.0,0.0,0.0,0.0,0.0,-1.348,armadilha_leve,0.0,37,Dúvida
124483,Lucas Monzón,263,BOT,3,Zagueiro,2,4.0,0.0,0.0,0,0.0,False,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,False,CRU,0.0,,estavel,0.0,0.0,0.0,0.0,0.0,-2.099,armadilha_forte,0.0,86,Dúvida
91204,Warleson,263,BOT,1,Goleiro,2,2.0,0.0,0.0,0,0.0,False,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,False,CRU,0.0,,estavel,0.0,0.0,0.0,0.0,0.0,-0.592,armadilha_leve,0.0,37,Dúvida
93637,Bruno Tubarão,315,CHA,2,Lateral,7,3.0,0.0,0.0,0,0.0,False,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,False,SAN,0.0,,estavel,0.0,0.0,0.0,0.0,0.0,-1.791,armadilha_forte,0.0,98,Provável
109573,Martinelli,266,FLU,4,Meia,7,5.53,0.0,1.95,12,0.0,False,1.0,9.0,19.0,4.0,6.0,8.0,,0.0,,3.0,0.0,,,,,,,,,,False,GRE,0.0,,estavel,1.9,1.53,0.785,1.0,1.973,-0.785,armadilha_leve,0.357,129,Provável
101254,Alef Manga,364,REM,5,Atacante,7,8.01,-0.45,4.6,19,2.4,True,3.0,16.0,16.0,8.0,13.0,16.0,,0.0,,1.0,4.0,18.0,,,,1.0,,,,,True,VIT,0.0,,estavel,2.4,2.13,0.463,1.0,4.712,0.682,valor_bom,0.588,29,Provável
92171,Arthur Cabral,263,BOT,5,Atacante,7,10.58,0.0,6.69,14,0.0,False,1.0,9.0,24.0,7.0,14.0,18.0,,0.0,,2.0,7.0,3.0,,,,,,,,,False,CRU,0.0,,estavel,6.7,2.33,0.348,1.0,6.068,1.265,valor_bom,0.574,34,Provável
72294,Everson,282,CAM,1,Goleiro,7,9.14,-1.53,4.39,19,2.9,True,1.0,,,,,6.0,,4.0,,,0.0,,61.0,24.0,,,,,,,False,PAL,0.0,,baixa,2.9,3.07,0.699,1.0,4.245,0.221,neutro,0.464,22,Provável
63007,Neymar,277,SAN,4,Meia,7,18.96,0.0,8.42,8,0.0,False,1.0,5.0,12.0,5.0,10.0,36.0,,0.0,,5.0,4.0,6.0,,,,,,,,,True,CHA,0.0,,estavel,8.4,5.29,0.628,1.0,6.213,0.644,valor_bom,0.328,132,Provável
97810,Erick,287,VIT,5,Atacante,7,8.67,0.0,4.68,15,0.0,False,4.0,4.0,5.0,6.0,7.0,30.0,1.0,0.0,,1.0,2.0,1.0,,,,,,,,,False,REM,0.0,,estavel,4.7,2.28,0.487,1.0,4.784,0.53,valor_bom,0.552,38,Provável
