atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria,prob_gols
97905,Matheus Aurélio,CHA,Goleiro,6,2.0,0.0,0.0,0,0.0,False,False,MIR,-0.497,neutro,0.0,0.0,0.0,45.4,neutro,0.0,0.8,-31.4,0.8,1.1,0.867,0.821,0.05,0.291,
147089,Cauã Soares,CAM,Atacante,6,1.39,-0.2,0.85,2,0.0,True,True,BOT,1.129,valor_bom,0.802,0.85,0.25,60.9,favoravel,0.24,0.875,18.2,0.824,1.26,1.144,0.8,0.4,0.462,
130282,Anthony,BOT,Zagueiro,6,3.0,0.0,0.0,0,0.0,False,False,CAM,-1.588,armadilha_forte,0.0,0.0,0.0,50.6,neutro,0.0,0.6,-18.2,1.144,0.8,0.824,1.26,0.5,0.277,
123016,David Braga,REM,Meia,6,3.82,-0.82,2.35,4,0.0,True,True,PAL,0.263,neutro,2.052,2.35,0.5,19.0,neutro,0.39,0.05,-33.4,0.933,0.817,0.672,0.509,0.425,0.23,
124264,Kauan Jesus,INT,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,CFC,0.489,neutro,0.0,0.0,0.0,67.5,neutro,0.0,0.9,5.6,1.2,0.8,1.05,1.4,0.6,0.252,
121811,Da Silva,CHA,Meia,6,3.0,0.0,0.0,0,0.0,False,False,MIR,-1.524,armadilha_forte,0.0,0.0,0.0,43.0,neutro,0.0,0.85,-31.4,0.8,1.1,0.867,0.821,0.05,0.291,
130309,Rodrigo Falcão,SAN,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,RBB,0.489,neutro,0.0,0.0,0.0,49.7,neutro,0.0,0.625,4.8,1.032,1.217,1.318,1.05,0.275,0.479,
149991,David,CFC,Atacante,6,1.0,0.0,0.0,0,0.0,False,True,INT,0.836,valor_bom,0.0,0.0,0.0,31.2,neutro,0.0,0.125,-5.6,1.05,1.4,1.2,0.8,0.325,0.343,
101820,Mayk,REM,Lateral,7,6.19,-0.1,3.2,6,2.0,True,True,PAL,-0.428,neutro,3.324,2.7,0.75,27.4,neutro,1.37,0.125,-33.4,0.933,0.817,0.672,0.509,0.425,0.23,
148717,Tetê,SAO,Atacante,6,0.66,0.0,-0.53,3,0.0,False,False,COR,2.014,valor_oculto,0.43,0.0,0.375,44.3,neutro,0.14,0.4,0.0,1.179,1.508,0.56,0.646,0.5,,
94034,Kevin Ramírez,CHA,Atacante,6,3.0,0.0,0.85,2,0.0,False,False,MIR,-0.738,armadilha_leve,0.802,0.85,0.25,41.7,neutro,0.17,0.85,-31.4,0.8,1.1,0.867,0.821,0.05,0.291,
107771,Fábio Matias,CHA,Técnico,7,7.53,-0.24,3.23,4,3.35,True,False,MIR,-1.318,armadilha_leve,4.084,3.23,0.5,41.5,neutro,1.69,0.85,-31.4,0.8,1.1,0.867,0.821,0.05,0.291,
150197,Osorio,SAO,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,COR,0.542,valor_bom,0.0,0.0,0.0,63.4,neutro,0.0,0.95,0.0,1.179,1.508,0.56,0.646,0.5,,
149990,Franclim Carvalho,BOT,Técnico,7,12.85,-0.63,6.07,4,4.58,True,False,CAM,-1.275,armadilha_leve,6.095,6.07,0.5,64.4,neutro,3.93,0.9,-18.2,1.144,0.8,0.824,1.26,0.5,0.277,
141405,Avellar,VAS,Lateral,6,1.49,0.0,1.5,1,0.0,False,True,CAP,1.8,valor_oculto,1.799,1.5,0.125,69.8,favoravel,0.31,0.725,39.7,0.84,0.933,0.84,0.747,0.425,0.476,
149993,Iago Machado,COR,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,SAO,0.542,valor_bom,0.0,0.0,0.0,52.6,neutro,0.0,0.625,0.0,0.56,0.646,1.179,1.508,0.425,0.449,
85465,Alex Santana,COR,Meia,6,4.02,0.02,0.8,1,0.8,True,True,SAO,-0.188,neutro,1.781,0.8,0.125,39.2,neutro,0.17,0.25,0.0,0.56,0.646,1.179,1.508,0.425,0.449,
130399,Igor Felisberto,SAO,Lateral,6,1.0,0.0,0.0,0,0.0,False,False,COR,0.669,valor_bom,0.0,0.0,0.0,63.0,neutro,0.0,0.95,0.0,1.179,1.508,0.56,0.646,0.5,,
146701,Benjamin Arhin,INT,Meia,6,2.0,0.0,0.0,0,0.0,False,False,CFC,-0.578,armadilha_leve,0.0,0.0,0.0,50.1,neutro,0.0,0.175,5.6,1.2,0.8,1.05,1.4,0.6,0.252,
150757,Samuel Pierri,SAN,Meia,6,2.0,0.0,0.0,0,0.0,False,True,RBB,-0.578,armadilha_leve,0.0,0.0,0.0,42.7,neutro,0.0,0.25,4.8,1.032,1.217,1.318,1.05,0.275,0.479,
149994,Jhuan Nunes,RBB,Atacante,6,1.83,0.0,2.3,1,0.0,False,False,SAN,0.699,valor_bom,0.958,2.3,0.125,61.5,neutro,0.15,0.625,-4.8,1.318,1.05,1.032,1.217,0.6,0.209,
132750,João Pedro,SAN,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,RBB,0.489,neutro,0.0,0.0,0.0,49.7,neutro,0.0,0.625,4.8,1.032,1.217,1.318,1.05,0.275,0.479,
143253,Wendell,VIT,Meia,6,2.0,0.0,0.0,0,0.0,False,False,FLU,-0.578,armadilha_leve,0.0,0.0,0.0,49.9,neutro,0.0,0.5,-74.6,1.3,0.722,0.852,1.244,0.6,,
143255,Kauan Vitor,VIT,Lateral,6,1.0,0.0,0.0,0,0.0,False,False,FLU,0.669,valor_bom,0.0,0.0,0.0,31.2,desfavoravel,0.0,0.275,-74.6,1.3,0.722,0.852,1.244,0.6,,
141795,Kauan Coutinho,VIT,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,FLU,0.542,valor_bom,0.0,0.0,0.0,31.3,desfavoravel,0.0,0.275,-74.6,1.3,0.722,0.852,1.244,0.6,,
130233,Iuri,BAH,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,CRU,0.489,neutro,0.0,0.0,0.0,60.1,favoravel,0.0,0.725,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
142868,Johnny,FLA,Lateral,6,1.0,0.0,0.0,0,0.0,False,False,GRE,0.669,valor_bom,0.0,0.0,0.0,39.6,desfavoravel,0.0,0.125,-15.9,1.3,0.867,0.35,0.35,0.85,,
150826,Nícollas,COR,Atacante,6,1.0,0.0,0.0,0,0.0,False,True,SAO,0.836,valor_bom,0.0,0.0,0.0,38.7,neutro,0.0,0.25,0.0,0.56,0.646,1.179,1.508,0.425,0.449,
150180,Ramon Rique,VAS,Meia,6,1.0,0.0,0.0,0,0.0,False,True,CAP,0.756,valor_bom,0.0,0.0,0.0,57.0,neutro,0.0,0.6,39.7,0.84,0.933,0.84,0.747,0.425,0.476,
150825,Breno,RBB,Zagueiro,6,0.92,-0.08,0.0,1,0.0,True,False,SAN,2.705,valor_oculto,1.773,0.0,0.125,54.1,neutro,0.24,0.65,-4.8,1.318,1.05,1.032,1.217,0.6,0.209,
114802,Vitor Roque,PAL,Atacante,5,17.01,0.0,7.6,7,0.0,False,False,REM,0.019,neutro,6.111,4.17,0.875,62.0,neutro,6.63,0.8,33.4,0.672,0.509,0.933,0.817,0.925,0.183,
143173,Leonel Pérez,GRE,Meia,7,4.24,0.85,1.42,6,3.7,True,True,FLA,-0.428,neutro,1.696,1.42,0.75,30.0,neutro,0.76,0.25,15.9,0.35,0.35,1.3,0.867,0.525,0.252,
102877,Gabriel Poveda,REM,Atacante,6,3.15,-0.07,0.55,6,0.9,True,True,PAL,-1.006,armadilha_leve,0.687,0.55,0.75,18.7,neutro,0.19,0.05,-33.4,0.933,0.817,0.672,0.509,0.425,0.23,
101254,Alef Manga,REM,Atacante,7,9.32,1.23,4.96,14,10.3,True,True,PAL,0.627,valor_bom,4.905,2.17,1.0,18.7,neutro,1.83,0.05,-33.4,0.933,0.817,0.672,0.509,0.425,0.23,
