nome,clube,clube_id,posicao,status_id,status_label,preco,media,media_bayesiana,variacao,jogos,confiabilidade,custo_beneficio,cb_rank,mandante,adversario,tendencia,residuo_z,armadilha_label,time_pos,adv_pos,vantagem_mando,oportunidade_confronto,time_momentum_of,time_momentum_def,forma_score_time,sequencia_time,adv_momentum_of,adv_momentum_def,score_confronto_z
Reinier,CAM,282,Meia,2,Dúvida,6.12,3.28,3.027,2.83,8,1.0,0.495,25,True,CAP,alta,0.527,valor_bom,,,,,,,,,,,0.0
Raniele,COR,264,Meia,7,Provável,7.71,3.5,3.086,0.0,6,0.75,0.3,113,True,INT,estavel,0.112,neutro,,,,,,,,,,,0.0
Angileri,COR,264,Lateral,7,Provável,4.2,2.05,3.526,-0.46,4,0.5,0.42,31,True,INT,estavel,0.673,valor_bom,,,,,,,,,,,0.0
Breno Bidon,COR,264,Meia,7,Provável,9.24,3.59,3.155,-0.48,7,0.875,0.299,114,True,INT,estavel,-0.276,neutro,,,,,,,,,,,0.0
Garro,COR,264,Meia,2,Dúvida,10.63,4.46,3.617,-0.04,8,1.0,0.34,94,True,INT,estavel,-0.208,neutro,,,,,,,,,,,0.0
André,COR,264,Meia,7,Provável,7.74,4.95,3.79,1.41,7,0.875,0.428,53,True,INT,alta,0.841,valor_bom,,,,,,,,,,,0.0
William,CRU,283,Lateral,2,Dúvida,9.41,3.74,4.02,0.84,7,0.875,0.374,42,False,SAO,alta,-0.66,armadilha_leve,,,,,,,,,,,0.0
Matheus Pereira,CRU,283,Meia,7,Provável,14.78,5.46,4.117,0.91,8,1.0,0.279,119,False,SAO,alta,-0.931,armadilha_leve,,,,,,,,,,,0.0
Matheus Henrique,CRU,283,Meia,7,Provável,5.3,2.06,2.396,-0.79,9,1.0,0.452,40,False,SAO,baixa,0.112,neutro,,,,,,,,,,,0.0
Arroyo,CRU,283,Atacante,7,Provável,4.65,1.6,2.423,0.15,8,1.0,0.521,20,False,SAO,estavel,0.105,neutro,,,,,,,,,,,0.0
Varela,FLA,262,Lateral,7,Provável,8.96,5.6,4.837,0.0,6,0.75,0.405,35,True,SAN,estavel,0.125,neutro,,,,,,,,,,,0.0
Jorginho,FLA,262,Meia,7,Provável,8.76,2.03,2.456,-0.42,6,0.75,0.21,149,True,SAN,estavel,-0.865,armadilha_leve,,,,,,,,,,,0.0
Arrascaeta,FLA,262,Meia,7,Provável,16.8,6.2,4.092,0.0,5,0.625,0.152,161,True,SAN,estavel,-1.564,armadilha_forte,,,,,,,,,,,0.0
Samuel Lino,FLA,262,Atacante,7,Provável,9.57,5.93,4.499,-0.87,7,0.875,0.411,55,True,SAN,baixa,0.651,valor_bom,,,,,,,,,,,0.0
Ayrton Lucas,FLA,262,Lateral,7,Provável,8.28,3.5,4.01,-0.86,4,0.5,0.242,64,True,SAN,baixa,-0.295,neutro,,,,,,,,,,,0.0
Ganso,FLU,266,Meia,2,Dúvida,3.91,1.14,1.957,0.02,8,1.0,0.501,24,False,CFC,estavel,0.069,neutro,,,,,,,,,,,0.0
Samuel Xavier,FLU,266,Lateral,7,Provável,8.51,4.65,4.444,-0.4,7,0.875,0.457,22,False,CFC,estavel,-0.033,neutro,,,,,,,,,,,0.0
Renê,FLU,266,Lateral,7,Provável,9.78,7.2,5.522,-0.65,6,0.75,0.423,30,False,CFC,baixa,0.388,neutro,,,,,,,,,,,0.0
Everaldo,BAH,265,Atacante,7,Provável,8.88,6.38,4.589,2.07,6,0.75,0.388,61,True,PAL,alta,0.913,valor_bom,,,,,,,,,,,0.0
De la Cruz,FLA,262,Meia,2,Dúvida,6.87,1.77,2.501,-1.11,3,0.375,0.137,164,True,SAN,baixa,-0.25,neutro,,,,,,,,,,,0.0
Evertton Araújo,FLA,262,Meia,2,Dúvida,2.74,0.45,2.0,0.0,4,0.5,0.365,81,True,SAN,estavel,0.465,neutro,,,,,,,,,,,0.0
John Kennedy,FLU,266,Atacante,2,Dúvida,9.93,6.6,4.923,1.54,8,1.0,0.496,24,False,CFC,alta,0.933,valor_bom,,,,,,,,,,,0.0
Canobbio,FLU,266,Atacante,7,Provável,10.99,7.98,5.455,0.0,7,0.875,0.434,43,False,CFC,estavel,1.126,valor_bom,,,,,,,,,,,0.0
Artur,SAO,276,Atacante,7,Provável,7.87,3.84,3.474,-0.62,5,0.625,0.276,90,True,CRU,baixa,0.189,neutro,,,,,,,,,,,0.0
Bernard,CAM,282,Meia,7,Provável,5.27,2.18,2.52,1.57,6,0.75,0.359,88,True,CAP,alta,0.251,neutro,,,,,,,,,,,0.0
Natanael,CAM,282,Lateral,2,Dúvida,9.83,7.45,4.902,4.67,2,0.25,0.125,81,True,CAP,alta,-0.111,neutro,,,,,,,,,,,0.0
Carrillo,COR,264,Meia,7,Provável,5.07,1.6,2.271,0.0,6,0.75,0.336,96,True,INT,estavel,0.05,neutro,,,,,,,,,,,0.0
Jean Lucas,BAH,265,Meia,7,Provável,10.04,5.97,4.372,0.0,8,1.0,0.435,50,True,PAL,estavel,0.761,valor_bom,,,,,,,,,,,0.0
Acevedo,BAH,265,Meia,7,Provável,6.89,4.23,3.454,0.89,7,0.875,0.439,48,True,PAL,alta,0.744,valor_bom,,,,,,,,,,,0.0
Caio Alexandre,BAH,265,Meia,7,Provável,4.8,1.7,2.314,-0.05,6,0.75,0.362,86,True,PAL,estavel,0.176,neutro,,,,,,,,,,,0.0
Alex Telles,BOT,263,Lateral,7,Provável,10.88,5.37,4.78,-0.18,7,0.875,0.384,39,False,VAS,estavel,-0.553,armadilha_leve,,,,,,,,,,,0.0
Cauly,SAO,276,Meia,2,Dúvida,7.01,3.35,3.021,-0.01,6,0.75,0.323,103,True,CRU,estavel,0.254,neutro,,,,,,,,,,,0.0
Matheus Martins,BOT,263,Atacante,7,Provável,5.86,2.99,3.127,-0.58,7,0.875,0.467,32,False,VAS,baixa,0.411,neutro,,,,,,,,,,,0.0
Danilo,BOT,263,Meia,7,Provável,15.85,10.02,5.88,0.0,6,0.75,0.278,121,False,VAS,estavel,0.598,valor_bom,,,,,,,,,,,0.0
Santi Rodríguez,BOT,263,Meia,7,Provável,6.56,2.52,2.677,-0.77,5,0.625,0.255,130,False,VAS,baixa,0.028,neutro,,,,,,,,,,,0.0
Montoro,BOT,263,Meia,7,Provável,8.1,3.92,3.266,-0.94,6,0.75,0.302,112,False,VAS,baixa,0.183,neutro,,,,,,,,,,,0.0
Savarino,FLU,266,Meia,7,Provável,9.26,4.88,3.757,-0.59,7,0.875,0.355,89,False,CFC,baixa,0.35,neutro,,,,,,,,,,,0.0
Matheus Fernandes,RBB,280,Meia,7,Provável,4.76,2.46,2.628,0.49,7,0.875,0.483,28,False,MIR,estavel,0.517,valor_bom,,,,,,,,,,,0.0
Júnior Santos,BOT,263,Atacante,2,Dúvida,6.03,2.97,3.154,1.72,4,0.5,0.262,95,False,VAS,alta,0.39,neutro,,,,,,,,,,,0.0
Juninho Capixaba,RBB,280,Lateral,7,Provável,15.02,9.06,6.662,1.58,8,1.0,0.444,25,False,MIR,alta,-0.451,neutro,,,,,,,,,,,0.0
Gabriel,RBB,280,Meia,7,Provável,5.97,2.63,2.707,2.03,7,0.875,0.397,66,False,MIR,alta,0.237,neutro,,,,,,,,,,,0.0
Sant Anna,RBB,280,Lateral,7,Provável,9.6,11.0,5.612,4.15,2,0.25,0.146,74,False,MIR,alta,0.518,valor_bom,,,,,,,,,,,0.0
Lucas Barbosa,RBB,280,Atacante,7,Provável,9.85,6.09,4.668,-0.14,8,1.0,0.474,30,False,MIR,estavel,0.728,valor_bom,,,,,,,,,,,0.0
Isidro Pitta,RBB,280,Atacante,7,Provável,5.0,1.57,2.408,1.63,8,1.0,0.482,28,False,MIR,alta,-0.001,neutro,,,,,,,,,,,0.0
Nathan Mendes,VIT,287,Lateral,7,Provável,5.59,4.22,4.245,-1.26,6,0.75,0.57,12,False,CHA,baixa,0.775,valor_bom,,,,,,,,,,,0.0
Gustavinho,RBB,280,Meia,7,Provável,6.3,3.84,3.307,-0.68,8,1.0,0.525,16,False,MIR,baixa,0.767,valor_bom,,,,,,,,,,,0.0
Henry Mosquera,RBB,280,Atacante,7,Provável,6.2,3.9,3.592,0.27,9,1.0,0.579,8,False,MIR,estavel,0.735,valor_bom,,,,,,,,,,,0.0
Alan Franco,CAM,282,Meia,7,Provável,5.46,3.01,2.892,0.0,8,1.0,0.53,15,True,CAP,estavel,0.584,valor_bom,,,,,,,,,,,0.0
Cuello,CAM,282,Atacante,7,Provável,11.0,6.68,5.064,3.0,9,1.0,0.46,33,True,CAP,alta,0.776,valor_bom,,,,,,,,,,,0.0
Everton Ribeiro,BAH,265,Meia,7,Provável,8.93,4.7,3.417,-1.52,4,0.5,0.191,155,True,PAL,baixa,0.092,neutro,,,,,,,,,,,0.0
