atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,scout_DE,scout_FS,scout_GS,scout_SG,scout_CA,scout_DS,scout_FC,scout_I,scout_FD,scout_FF,scout_FT,scout_PC,scout_A,scout_G,scout_PP,scout_PS,scout_CV,scout_V,scout_DP,scout_GC
113103,Flaco López,275,PAL,5,Atacante,7,15.67,1.21,7.12,6,12.7,,13.0,,,,6.0,13.0,5.0,3.0,5.0,,,,3.0,,,,,,
141451,Allan,275,PAL,4,Meia,2,13.29,0.09,6.48,6,3.2,,13.0,,,2.0,10.0,7.0,1.0,4.0,1.0,,,,2.0,,,,,,
130612,Luighi,275,PAL,5,Atacante,6,2.63,0.0,0.6,4,0.0,,1.0,,,1.0,2.0,3.0,,,1.0,,,,,,,,,,
136156,Larson,275,PAL,4,Meia,6,2.24,-0.3,-0.15,2,-0.3,,,,,,,1.0,,,,,,,,,,,,,
72279,Thomazella,2305,MIR,1,Goleiro,6,2.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
73318,Daniel Borges,2305,MIR,2,Lateral,6,4.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
81005,André Luis,2305,MIR,5,Atacante,6,5.1,0.1,1.5,1,1.5,,3.0,,,,,,,,,,,,,,,,,,
79066,Alex Muralha,2305,MIR,1,Goleiro,6,3.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
124526,Giay,275,PAL,2,Lateral,6,6.2,1.68,2.62,5,9.7,,3.0,,1.0,,5.0,3.0,,,,,,,,,,,,,
133679,Benedetti,275,PAL,3,Zagueiro,6,3.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
97321,Alesson,2305,MIR,5,Atacante,7,8.09,-0.88,4.57,4,-0.3,,4.0,,,,6.0,3.0,,2.0,1.0,,,1.0,,,,,,,
97460,João Victor,2305,MIR,3,Zagueiro,7,4.94,-0.52,1.97,4,0.0,,1.0,,,,2.0,2.0,,,,,,1.0,,,,,,,
102667,Nathan Fogaça,2305,MIR,5,Atacante,7,5.81,-0.8,5.15,4,1.7,,,,,1.0,,7.0,1.0,2.0,3.0,1.0,,,2.0,,,,,,
82775,Lucas Ramon,276,SAO,2,Lateral,7,11.42,0.12,8.9,3,6.7,,5.0,,2.0,,5.0,1.0,,1.0,1.0,,,1.0,,,,,,,
87742,Neto Moura,2305,MIR,4,Meia,7,3.1,-0.77,-0.23,3,-1.6,,1.0,,,2.0,1.0,5.0,,,1.0,,,,,,,,,,
83263,Yuri Lara,2305,MIR,4,Meia,6,4.65,0.0,2.2,3,0.0,,3.0,,,,5.0,2.0,,1.0,,,,,,,,1.0,,,
101708,Felipe Jonatan,294,CFC,2,Lateral,6,5.21,0.0,2.0,1,0.0,,1.0,,,,1.0,,,,,,,,,,,,,,
90917,Carlos Eduardo,2305,MIR,5,Atacante,6,4.06,-0.34,1.03,3,0.5,,5.0,,,,1.0,2.0,3.0,,,,,,,,,,,,
104027,Rafael Guanaes,2305,MIR,6,Técnico,7,6.8,-0.2,3.98,4,1.93,,,,,,,,,,,,,,,,,,1.0,,
117403,Renato Marques,2305,MIR,5,Atacante,6,4.01,0.0,2.1,1,0.0,,2.0,,,,,3.0,,1.0,1.0,,,,,,,,,,
97520,Shaylon,2305,MIR,4,Meia,7,4.4,-0.6,-0.3,1,-0.3,,,,,,,1.0,,,,,,,,,,,,,
92180,Jair Ventura,287,VIT,6,Técnico,7,8.8,1.1,6.37,4,8.4,,,,,,,,,,,,,,,,,,2.0,,
81150,Mayke,277,SAN,2,Lateral,6,4.67,0.0,1.2,1,0.0,,3.0,,,,,1.0,,,,,,,,,,,,,
105903,Aldo Filho,2305,MIR,4,Meia,7,3.99,-0.1,1.6,4,1.4,,1.0,,,2.0,2.0,7.0,,1.0,1.0,,,1.0,,,,,,,
77777,João Schmidt,277,SAN,4,Meia,6,4.93,0.0,1.85,4,0.0,,1.0,,,1.0,5.0,4.0,,,2.0,,,,,,,,,,
83257,Gabriel,277,SAN,5,Atacante,7,10.36,1.98,5.75,2,9.4,,3.0,,,,1.0,,3.0,,1.0,,,,1.0,,,,,,
104204,Edson Carioca,2305,MIR,5,Atacante,6,5.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
91866,Zé Ivaldo,277,SAN,3,Zagueiro,6,7.49,0.15,4.6,2,3.2,,3.0,,,,5.0,,,1.0,,,1.0,,,,,,,,
104754,Juan Vojvoda,277,SAN,6,Técnico,7,8.18,-0.43,4.59,5,3.98,,,,,,,,,,,,,,,,,,1.0,,
82455,Zé Rafael,277,SAN,4,Meia,5,9.52,0.0,6.97,3,0.0,,4.0,,,1.0,4.0,5.0,,,3.0,,,1.0,1.0,,,,,,
74187,Rincón,277,SAN,4,Meia,6,4.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
84042,Tiquinho Soares,2305,MIR,5,Atacante,6,6.79,-0.21,1.2,1,1.2,,,,,,1.0,1.0,,,,,,,,,,,,,
87470,Thaciano,277,SAN,4,Meia,6,7.73,-0.87,4.37,3,0.0,,5.0,,,,1.0,1.0,2.0,,2.0,,,,1.0,,,,,,
102256,Rollheiser,277,SAN,4,Meia,6,5.41,-0.86,0.3,4,-1.3,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,
78478,Willian Arão,277,SAN,4,Meia,7,6.11,-0.2,0.95,2,1.7,,2.0,,,,1.0,2.0,,,,,,,,,,,,,
95466,Igor Vinícius,277,SAN,2,Lateral,7,9.36,0.0,6.33,3,0.0,,3.0,,,1.0,9.0,4.0,,1.0,,,,1.0,,,,,,,
84847,Luan Peres,277,SAN,3,Zagueiro,3,3.1,-1.35,0.42,5,-2.9,,6.0,,,,3.0,8.0,,,,,,,,,,1.0,,,
102975,Escobar,277,SAN,2,Lateral,6,6.97,0.0,5.2,1,0.0,,1.0,,,1.0,4.0,1.0,,,,,,,,,,,,,
118775,Lautaro Díaz,277,SAN,5,Atacante,6,5.43,0.0,2.1,3,0.0,,1.0,,,,1.0,1.0,,,2.0,1.0,,,,,,,,,
141754,Gabriel Bontempo,277,SAN,4,Meia,7,3.76,-0.06,1.6,5,2.4,,3.0,,,1.0,5.0,4.0,,1.0,,,,,,,,,,,
130811,Souza,277,SAN,2,Lateral,6,8.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
141868,Vinicius Lira,277,SAN,2,Lateral,5,3.79,-0.42,2.42,4,0.9,,,,,1.0,7.0,6.0,,1.0,1.0,,,,,,,,,,
113690,Diógenes,277,SAN,1,Goleiro,6,2.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
77656,Cédric Soares,276,SAO,2,Lateral,6,5.72,0.0,2.3,1,0.0,,,,,,1.0,,,,1.0,,,,,,,,,,
108469,Adonis Frías,277,SAN,3,Zagueiro,7,5.1,0.55,1.37,3,4.2,,,,,1.0,3.0,2.0,,1.0,,,,,,,,,,,
142867,Robinho Jr.,277,SAN,5,Atacante,6,3.27,0.0,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,
63008,Rafael Tolói,276,SAO,3,Zagueiro,6,8.5,0.0,10.6,1,0.0,,,,1.0,1.0,4.0,2.0,,1.0,,,,,,,,,,,
81845,Alisson,266,FLU,4,Meia,6,5.53,0.0,0.5,1,0.0,,1.0,,,,,,,,,,,,,,,,,,
70164,Lucas Moura,276,SAO,4,Meia,7,8.27,-0.24,3.05,6,1.6,,5.0,,,,,4.0,,2.0,2.0,,,1.0,1.0,,,,,,
104075,Sabino,276,SAO,3,Zagueiro,7,8.7,1.39,6.52,5,10.4,,6.0,,2.0,,9.0,9.0,,,1.0,,,,1.0,,,,,,
99889,Alan Franco,276,SAO,3,Zagueiro,7,5.99,-0.99,3.33,6,0.0,,1.0,,3.0,2.0,5.0,6.0,,,1.0,,,,,,,,,,
85403,Danielzinho,276,SAO,4,Meia,7,8.5,0.26,4.94,5,5.5,,7.0,,,,4.0,4.0,,,3.0,,,1.0,1.0,,1.0,,,,
89840,Calleri,276,SAO,5,Atacante,7,13.68,-0.03,7.88,6,8.8,,9.0,,,1.0,7.0,8.0,3.0,2.0,2.0,,,,4.0,,,,,,
80570,Wendell,276,SAO,2,Lateral,6,9.79,0.0,7.2,2,0.0,,,,2.0,,4.0,8.0,,,1.0,,,,,,,,,,
91573,Arboleda,276,SAO,3,Zagueiro,6,9.16,-1.54,4.62,5,0.0,,1.0,,2.0,,9.0,3.0,,,,,,,,,,,,,
106294,Marcos Antônio,276,SAO,4,Meia,7,7.5,-0.55,3.77,6,3.5,,6.0,,,,10.0,5.0,1.0,1.0,,,,1.0,,,,,,,
