timestamp,endpoint,registros,status,erro
2026-03-09 16:45,mercado,710,OK,
2026-03-09 16:45,pontuados,0,ERRO,Expecting value: line 1 column 1 (char 0)
2026-03-09 16:45,partidas,10,OK,
2026-03-09 16:45,rodadas,38,OK,
2026-03-09 19:56,mercado,710,OK,
2026-03-09 19:56,pontuados,0,ERRO,Expecting value: line 1 column 1 (char 0)
2026-03-09 19:56,partidas,10,OK,
2026-03-09 19:56,rodadas,38,OK,
